business_name,category,city,address,phone,source
"Kaul, Nagar and Issac",Restaurant,Noida,"H.No. 75, Rastogi, Kozhikode 968074",02394159336,Justdial
"Kunda, Keer and Mahal",Hotel,Kanpur,"94/18, Chakrabarti Path, Sirsa-689926",9841115761,Sulekha
"Dugar, Dua and Shenoy",Gym,Jaipur,"H.No. 448, Kuruvilla Path, Kochi-371293",04745423730,Sulekha
Chauhan-Lata,Salon,Lucknow,"H.No. 689, Shankar, Chandigarh 837276",6081134545,Justdial
Talwar-Kadakia,Medical,Pune,"H.No. 60, Walia Street, Jalgaon 782070",08556320247,Sulekha
"Kumer, Sachdev and Suresh",Restaurant,Delhi,"37/93, Mall Ganj, Varanasi 794023",09302701015,Google
Nayak-Ramesh,Medical,Jaipur,"78/63, Sanghvi, Ambala 535587",+915386730332,Sulekha
Bhardwaj Group,Clothing,Bengaluru,"808, Sabharwal Marg, Indore-304147",7749560154,Sulekha
Mahajan-Bath,Electronics,Agra,"H.No. 662, Memon Marg, Ongole-492919",+916847489365,Justdial
"Nagi, Ghosh and Sant",Mobile,Kanpur,"04/676, Puri Path, Gwalior 189825",+911357676549,Justdial
Venkatesh Group,School,Agra,"209, Brahmbhatt Nagar, Deoghar 440089",02427056611,Google
"Bhatnagar, Balakrishnan and Koshy",Restaurant,Pune,"H.No. 897, Kadakia Marg, Davanagere-171238",5797551174,Google
Agate-Varughese,Mobile,Bengaluru,"15, Buch Ganj, Aizawl-978960",08426310474,Sulekha
Sastry Ltd,Electronics,Gurgaon,"H.No. 01, Bora Nagar, Hosur 197667",2935605806,Sulekha
Dara-Bose,Medical,Kanpur,"44, Goyal Path, Jamalpur-633183",5617844669,Google
Ray-Savant,Gym,Mumbai,"596, Aurora Nagar, Kurnool-898266",6178739696,Sulekha
Sem-Doctor,Gym,Mumbai,"841, Srivastava Circle, Chapra 378877",9213939482,Google
Ramanathan-Devi,Gym,Noida,"03/09, Chauhan Circle, Hubli–Dharwad-969447",6682171645,Google
Borah-Grewal,Gym,Jaipur,"H.No. 56, Mall Marg, Gulbarga-259537",2118464021,Justdial
Ben-Ganesh,Cafe,Pune,"H.No. 97, Bains Nagar, Bhilai-715568",+911542436381,Justdial
Barad-Dhawan,Hotel,Delhi,"12/351, Mander Zila, Mumbai 609559",4038701843,Justdial
"Seth, Acharya and Prabhu",Gym,Pune,"H.No. 176, Mukherjee Street, Motihari-991011",+914688506146,Google
"Sathe, Sastry and Tella",Cafe,Gurgaon,"H.No. 911, Desai Path, Machilipatnam 772905",07584676424,Justdial
"Atwal, Banerjee and Mukherjee",Gym,Kanpur,"H.No. 20, Ratta Path, Mathura 094627",0100414339,Justdial
Solanki and Sons,Salon,Mumbai,"H.No. 03, Chauhan Ganj, Haridwar 912256",07757370824,Sulekha
Verma-Sethi,Salon,Kanpur,"02, Shroff Marg, Bathinda 390435",3260934312,Sulekha
Ratta-Chaudhary,Restaurant,Mumbai,"H.No. 141, Rege Chowk, Bhagalpur 566698",6412877081,Google
Khalsa-Jha,Clothing,Delhi,"54/759, Kar Street, Shivpuri 468744",+919629709809,Sulekha
Bera-Balasubramanian,Hotel,Pune,"01/22, Kari Circle, Bhiwandi-981290",+913992861594,Justdial
"Narayan, Mani and Pandit",Salon,Bengaluru,"65/40, Palla Street, Nagaon 709025",05710840450,Justdial
Varma Ltd,Cafe,Agra,"51/253, Mangal, Guntakal 375762",04144053713,Justdial
Jani Ltd,Mobile,Gurgaon,"H.No. 29, Chhabra Road, Arrah 192209",+915227004212,Justdial
Dugar LLC,School,Jaipur,"H.No. 75, Devi Ganj, Darbhanga-505356",+913613486320,Google
Randhawa Inc,Mobile,Jaipur,"H.No. 356, Mander Ganj, Lucknow-903658",+915044047672,Sulekha
Sami-Yogi,School,Kanpur,"93/14, Contractor Road, Aurangabad-219350",07397812911,Google
Lad-Acharya,Cafe,Delhi,"95/30, Doctor Chowk, Tadipatri-959374",09653223103,Google
Dhaliwal-Bhardwaj,Salon,Mumbai,"04, Taneja, Darbhanga 983975",+917184420598,Google
Varty Group,Restaurant,Pune,"54/30, Muni Path, Tiruchirappalli-550000",+910973712790,Google
Bhatt-Gandhi,Cafe,Kanpur,"H.No. 004, Naik Street, Solapur 096464",+911361027349,Justdial
"Bal, Chanda and Swaminathan",Clothing,Mumbai,"H.No. 79, Ben Road, Amroha 132274",+913113552870,Google
Sarin Group,Medical,Bengaluru,"26/04, Mammen Chowk, Mau 142505",+911876652921,Justdial
Lal-Mann,Mobile,Agra,"60, Nanda Chowk, Shimoga-463706",+915997762231,Sulekha
Lala-Nagy,School,Delhi,"61/82, Vohra Nagar, Tumkur 106438",05985751111,Google
Shroff LLC,Cafe,Lucknow,"46/529, Basu Chowk, Howrah-720497",+911164922058,Justdial
"Kibe, Loke and Dube",Hotel,Gurgaon,"500, Dugar Marg, Kolkata 023919",+916725295044,Google
"Prasad, Dutta and Kapadia",Medical,Agra,"56/51, Verma Street, Bihar Sharif 058869",+915556664761,Google
Jaggi LLC,Salon,Delhi,"H.No. 306, Sanghvi Path, Giridih 282859",00780202051,Google
Subramanian Inc,Electronics,Mumbai,"600, Shetty Path, Eluru 511692",05673969039,Justdial
Minhas Ltd,Hotel,Pune,"H.No. 030, Gopal Circle, Ichalkaranji 332603",+911021506806,Google
"Pandey, Sagar and Nigam",Mobile,Bengaluru,"075, Nazareth Street, Ajmer 544029",+917380176934,Sulekha
Hegde-Swaminathan,Restaurant,Mumbai,"69, Randhawa Nagar, Haldia-804001",+912906684495,Google
Parmar-Gaba,Clothing,Noida,"98/780, Majumdar Road, Bokaro 078894",0582034842,Google
Swaminathan-Deep,Medical,Pune,"11/02, Badami, Agra-458981",7530600320,Google
Bhagat PLC,Hotel,Agra,"518, Murthy Circle, Vadodara 868859",+919112837917,Justdial
"Singhal, Iyer and Gara",Hotel,Delhi,"31/02, Natt Street, Korba 886742",+910732829887,Sulekha
"Mandal, Mohanty and Balay",Restaurant,Gurgaon,"685, Kaur Nagar, Gangtok 253976",06894201396,Justdial
Solanki-Kunda,Medical,Jaipur,"99, Thaman Ganj, Morbi-956206",+911319589505,Google
Mital-Nanda,Clothing,Delhi,"58/11, Goswami Ganj, Ajmer 491160",0665274594,Justdial
Sem-Narayan,Cafe,Mumbai,"H.No. 059, Srinivas Nagar, Aizawl 973480",+911532939491,Justdial
"Murthy, Chaudhary and Shankar",School,Lucknow,"H.No. 205, Sampath Ganj, Raichur 574349",00160743530,Justdial
"Chopra, Tak and Menon",Salon,Agra,"36/181, Kalla Street, Gandhinagar 551088",0342690547,Justdial
"Loke, Majumdar and Taneja",Hotel,Kanpur,"H.No. 64, Nigam, Avadi 945836",9982535144,Google
"Kala, Handa and Brahmbhatt",School,Agra,"168, Kapadia Chowk, Machilipatnam 501171",9427124344,Google
"Buch, Chada and Puri",Electronics,Pune,"H.No. 57, Subramanian Path, Bahraich-351922",00188529614,Google
Grewal Inc,Medical,Gurgaon,"957, Sem Marg, Rewa-265363",+918522506406,Justdial
"Basak, Batta and Thakur",Electronics,Kanpur,"H.No. 85, Som Street, Dharmavaram 819881",04556034356,Sulekha
"Mukhopadhyay, Shroff and Taneja",Medical,Mumbai,"23/006, Madan Chowk, Gangtok-407204",+912144300843,Justdial
Raju Ltd,School,Mumbai,"59, Panchal Road, Hosur 386420",7942558036,Sulekha
"Banerjee, Chaudhry and Andra",Medical,Noida,"076, Bera Road, Malegaon-529672",+917900678833,Google
"Salvi, Bobal and Mander",Gym,Noida,"02/35, Bandi Zila, Gangtok 196452",0248445027,Sulekha
Gopal Group,Hotel,Kanpur,"76/93, Mohanty Marg, Jaipur 513338",+919946344492,Sulekha
Dixit LLC,Gym,Delhi,"H.No. 260, Parmer Circle, Haridwar 619521",+919910425786,Google
Lad PLC,Electronics,Pune,"71/67, Kurian Nagar, Agartala 334032",5147872994,Sulekha
Gera-Kaul,Salon,Delhi,"H.No. 32, Sandhu Street, Hindupur 542161",+915500819615,Sulekha
Anand and Sons,Restaurant,Lucknow,"H.No. 102, Mammen Ganj, Davanagere 559847",+918126592631,Sulekha
Dash PLC,Gym,Agra,"64, Lall Ganj, Darbhanga-477614",07858560510,Justdial
"Salvi, Venkatesh and Mohan",Mobile,Mumbai,"H.No. 48, Rout Nagar, Dibrugarh-173564",01261492808,Sulekha
Nadig PLC,Restaurant,Agra,"24/343, Lala Street, Jorhat 305331",07745309798,Sulekha
Natarajan Group,Restaurant,Pune,"42/23, Chaudry Zila, Bidhannagar 761663",00325476800,Justdial
Lalla-Badami,Hotel,Jaipur,"H.No. 62, Bhalla Marg, Shimla-848681",1419337037,Sulekha
Nagar Group,Gym,Delhi,"529, Kota, Guwahati-649492",9569696426,Google
"Warrior, Nayar and Swamy",Hotel,Delhi,"71/84, Deshmukh Road, Allahabad 116833",+911852371912,Justdial
Das-Kapur,Hotel,Lucknow,"620, Chaudhari Path, Durgapur 905600",+918762179530,Justdial
"Ramaswamy, Jaggi and Anne",Restaurant,Pune,"763, Divan Chowk, Faridabad-863569",5766347112,Google
Varkey Group,Gym,Mumbai,"263, Naik Marg, Satara 815826",06191492615,Justdial
Nigam-Minhas,Mobile,Lucknow,"43, Ranganathan Nagar, Karimnagar 584296",9104010771,Justdial
Dhaliwal-Suresh,School,Jaipur,"H.No. 945, Bhandari Marg, Panchkula-811914",5371322997,Sulekha
Menon-Sharma,Medical,Pune,"306, Apte Zila, Etawah 409045",4654279590,Google
"Saha, Dewan and Keer",Mobile,Pune,"206, Seth Zila, Purnia 997729",+912252423898,Google
"Nagy, Khanna and Parekh",Cafe,Bengaluru,"06, Choudhary Road, Akola-508222",00771467007,Sulekha
Sarma PLC,Cafe,Delhi,"H.No. 392, Sibal Chowk, Udupi-692232",+919137642741,Sulekha
Sinha-Karnik,Electronics,Noida,"H.No. 45, Edwin Nagar, Delhi-083567",03682617340,Justdial
Warrior PLC,Gym,Bengaluru,"194, Deshpande Circle, Khora  270849",3860110929,Justdial
"Nayar, Dhar and Mani",Hotel,Kanpur,"H.No. 098, Atwal Chowk, Sultan Pur Majra 127525",07150325423,Google
Mane-Jain,Mobile,Gurgaon,"H.No. 13, Rege Marg, Unnao 116413",0465208878,Google
"Borde, Pant and Pillai",Gym,Gurgaon,"90/01, Vasa Road, Tirupati 938008",+913590003391,Sulekha
Reddy and Sons,Restaurant,Agra,"15/981, Tara Street, Bhalswa Jahangir Pur 319613",3095929933,Google
Sinha-Biswas,Cafe,Bengaluru,"74/086, Tripathi Nagar, Korba-487985",5125351636,Google
Rattan-Sarma,Clothing,Jaipur,"H.No. 829, Patla Road, Loni-496602",6969126580,Sulekha
Chaudhry Ltd,Mobile,Agra,"62/957, Kashyap Chowk, Deoghar 224780",09077003812,Google
Patil-Varma,School,Lucknow,"H.No. 194, Randhawa Nagar, Jaunpur-961855",03775509279,Sulekha
"Batta, Lanka and Pillai",Gym,Jaipur,"H.No. 26, Buch Road, Parbhani-677775",0737107509,Google
"Ramachandran, Gera and Nath",Restaurant,Bengaluru,"28, Chaudhuri Ganj, Loni 633330",5927659651,Justdial
"Prasad, Ramakrishnan and Rajagopal",Restaurant,Mumbai,"69/264, Kohli Chowk, Khandwa 671851",04571388376,Justdial
"Choudhury, Dora and Virk",Restaurant,Bengaluru,"H.No. 959, Tiwari Ganj, Pondicherry-322920",05299559635,Sulekha
Kata Ltd,Gym,Agra,"H.No. 353, Shukla Zila, Jalgaon 008599",04675565298,Justdial
Ramaswamy PLC,Gym,Gurgaon,"08, Dara Nagar, Gandhinagar-076839",5974530378,Sulekha
"Muni, Agarwal and Thaker",Salon,Lucknow,"H.No. 884, Bala Road, Jehanabad 002008",3009947327,Justdial
Garg-Dara,Clothing,Noida,"16/547, Dey Road, Nizamabad 799536",06000538188,Justdial
Chakraborty and Sons,Medical,Pune,"29/197, Gole Circle, Parbhani 844990",6716869913,Sulekha
"Varma, Bajaj and Ratti",Gym,Pune,"00, Mahajan Zila, Gurgaon-389327",5287606983,Justdial
Virk-Contractor,Gym,Gurgaon,"H.No. 00, Bava Zila, Miryalaguda-949994",4627443853,Sulekha
"Radhakrishnan, Prabhu and Bajwa",School,Delhi,"05/187, Prabhakar Circle, Bidar-462196",6636815293,Justdial
"Bala, Kuruvilla and Tak",Gym,Noida,"63, Rajagopal Ganj, Loni-219142",3227977463,Sulekha
Datta LLC,School,Jaipur,"319, Gera Path, Proddatur-786568",08975163299,Justdial
Rout-Sampath,Salon,Lucknow,"H.No. 361, Acharya Path, Pudukkottai-775196",+917420618291,Sulekha
Khanna Inc,School,Gurgaon,"10/188, Contractor Nagar, Bhimavaram-161638",3706684952,Google
Panchal Ltd,Clothing,Jaipur,"697, Badami Road, Bhopal-322044",05120206859,Justdial
Yadav-Kannan,Electronics,Agra,"35/216, Peri Circle, Rajpur Sonarpur-821656",0355810896,Google
Pillay-Garg,Cafe,Kanpur,"H.No. 441, Chowdhury Street, Machilipatnam 264205",01961581550,Justdial
"Narang, Bala and Agrawal",Medical,Bengaluru,"H.No. 44, Nadkarni Nagar, Munger 532288",02600523771,Google
Mishra Ltd,Mobile,Delhi,"H.No. 411, Ratta Path, Mangalore-907835",00142264393,Google
Gole-Dubey,Electronics,Delhi,"60/28, Dua Street, Udaipur 429084",+917130242710,Justdial
"Dar, Parekh and Pandya",Cafe,Delhi,"H.No. 024, Subramaniam Circle, Erode-562690",+918592927587,Google
Anne-Devan,Gym,Agra,"H.No. 089, Bahri Street, Vadodara 701846",+912888320390,Justdial
Mohanty-Puri,Hotel,Gurgaon,"81/96, Raja Chowk, Howrah-871003",0686998880,Sulekha
Agate and Sons,Hotel,Jaipur,"20/808, Mohanty Road, Dewas 010923",+914492494919,Google
"Patel, Bajaj and Bawa",Medical,Noida,"40/81, Bhandari Nagar, Bilaspur-346278",+914912032918,Google
"Vyas, Kala and Bhatt",Salon,Jaipur,"51/485, Pradhan, Berhampore-954466",03376612095,Justdial
Gulati Inc,Clothing,Gurgaon,"89, Narayanan Path, Vijayawada 891715",+916531894789,Sulekha
"Mody, Chaudhuri and Dugal",Hotel,Jaipur,"33/499, Ranganathan Circle, Deoghar-390384",03754696153,Sulekha
"Kara, Vohra and Sankar",Gym,Bengaluru,"H.No. 111, Gill Chowk, Malegaon 775995",+910721987643,Google
Gade-Dar,Clothing,Delhi,"088, Koshy, Ichalkaranji-178272",07333063698,Sulekha
Verma Inc,Electronics,Jaipur,"H.No. 95, Konda Zila, Bahraich-829768",+917568460880,Google
Swaminathan and Sons,School,Lucknow,"854, Oommen Ganj, Bhopal 753705",03140786612,Sulekha
Raj-Dalal,Mobile,Pune,"90, Batta Ganj, Aizawl 343069",3192396269,Google
Choudhry Group,Gym,Agra,"08/35, Basu, Anand 224564",05566255624,Justdial
"Zacharia, Om and Kara",Gym,Agra,"08, Ghose Marg, Thrissur-509644",+911149718577,Google
Ramanathan-Rattan,Clothing,Kanpur,"62, Atwal Marg, Uluberia 292551",+910090925289,Justdial
Bansal-Raghavan,Salon,Bengaluru,"71/25, Sachdev Circle, Moradabad-568377",4283951337,Sulekha
Chand Ltd,School,Agra,"H.No. 23, Saraf Zila, Mehsana 757304",07497962699,Justdial
Brahmbhatt and Sons,School,Noida,"H.No. 24, Kashyap, Allahabad 777258",4754561942,Google
Prakash-Rajagopalan,School,Delhi,"H.No. 80, Guha Chowk, Kirari Suleman Nagar 693800",6413758483,Sulekha
Sood-Kapur,Clothing,Jaipur,"83, Gulati Street, Panihati-349285",+910731073140,Justdial
Lanka Group,Restaurant,Lucknow,"86, Ram Chowk, Sambhal-683568",0337477496,Sulekha
"Minhas, Pandya and Magar",Clothing,Agra,"92/34, Manda Nagar, Katni-186317",07115867949,Justdial
Shroff and Sons,Mobile,Noida,"903, Lanka Chowk, Thane 696569",+912397963953,Justdial
"Radhakrishnan, Dey and Pradhan",Medical,Gurgaon,"H.No. 51, Basak Road, Danapur 289121",+919824302576,Justdial
Sundaram-Dhar,Clothing,Bengaluru,"65, Kuruvilla Nagar, Lucknow-505695",7840166069,Justdial
Ghose-Guha,School,Jaipur,"H.No. 100, Chaudhary Ganj, Bhubaneswar-863918",7104460100,Justdial
Bobal-Tata,School,Jaipur,"H.No. 043, Kalita Street, Serampore-918048",0848537031,Sulekha
"Deol, Saini and Koshy",School,Bengaluru,"03/034, Ray Street, Ahmednagar-350086",00792454941,Justdial
"Sami, Badami and Gopal",Hotel,Mumbai,"566, Savant Street, Ambarnath-352727",04821669640,Justdial
Boase-Parmar,Mobile,Lucknow,"38/530, Batra Path, Bhimavaram 546355",+913123737868,Sulekha
Kannan-Keer,Cafe,Kanpur,"23/48, Chacko Path, Giridih-410579",+915660192608,Google
"Ganguly, Chaudhari and Bansal",Hotel,Noida,"30/126, Bassi Road, Bhusawal 708203",5713341075,Google
Bajaj-Naidu,Restaurant,Gurgaon,"248, Kulkarni Marg, Jamshedpur 727708",+915204883017,Google
"Baral, Prabhu and Luthra",Gym,Bengaluru,"33/626, Comar Zila, Raichur-511356",+915869664124,Google
"Lal, Gole and Barman",Salon,Gurgaon,"640, Suri Path, Tumkur 782979",+912838392583,Google
Tara LLC,Gym,Kanpur,"H.No. 466, Mallick Street, Phagwara 768036",0014526827,Sulekha
Cheema Ltd,School,Mumbai,"41, Thaman Road, Pondicherry-674608",07855276832,Justdial
"Taneja, Viswanathan and Bhagat",Mobile,Jaipur,"98, Varkey Chowk, Begusarai-546518",4676439370,Sulekha
Lata-Lal,Restaurant,Kanpur,"636, Tella Zila, Meerut-674365",+917925112441,Google
"Padmanabhan, Dubey and Seth",Restaurant,Jaipur,"37/43, Shukla, Panipat 189395",7945029233,Justdial
Krishna-Mand,Restaurant,Delhi,"40/86, Kakar, Buxar-392894",+917525732995,Sulekha
Master-Samra,Clothing,Mumbai,"52/942, Bhatia, Kolhapur 009718",+918839506322,Google
Chandra Group,Gym,Gurgaon,"H.No. 48, Vala Zila, Hyderabad-259036",1215554287,Justdial
Singh Ltd,Clothing,Agra,"H.No. 586, Som Road, Durgapur 636672",3240375824,Google
"Chandra, Ram and Lalla",Gym,Jaipur,"666, Brar Road, Sonipat 978763",9741210094,Sulekha
Sagar-Dixit,Mobile,Pune,"449, Zachariah Path, Bhopal-778128",+911149947800,Google
Behl-Dhar,Salon,Kanpur,"H.No. 16, Jain Chowk, Karawal Nagar 497460",+918436309763,Sulekha
Cherian-Sura,School,Jaipur,"59/035, Naik Road, Parbhani-061414",06186860141,Justdial
Lad Inc,Medical,Kanpur,"76, Chakraborty Circle, Nagpur 901991",4825876750,Sulekha
Talwar Ltd,Salon,Agra,"42/668, Sibal Circle, Jamalpur 807720",7122588746,Google
Wali-Konda,Electronics,Pune,"70, Kalita Road, Tumkur 094303",03303636703,Justdial
Rau-Sekhon,Hotel,Kanpur,"91/42, Andra Ganj, Solapur-443293",6930990854,Justdial
Wadhwa PLC,Salon,Jaipur,"018, Handa Zila, Thrissur-870592",3484498672,Google
Bhandari-Mani,School,Noida,"23, Kamdar Street, Narasaraopet-243278",+914994559571,Sulekha
Swaminathan Inc,Hotel,Agra,"85/855, Ramaswamy, Panchkula 457783",1950883818,Google
Chandra-Zachariah,Restaurant,Agra,"84/70, Varghese Ganj, Raichur-285709",07220752944,Google
Pal-Handa,School,Pune,"54/650, Kothari Road, Chinsurah-348273",6541798867,Justdial
Dar-Halder,Electronics,Jaipur,"18/001, Balan, Ghaziabad-223876",+914445414826,Google
"Keer, Naidu and Borah",Electronics,Agra,"95/11, Madan Path, Jorhat-817568",0321740066,Justdial
